Learned,Tested
0,10
1,12
2,15
3,20
4,21
5,22
6,23
10,25
11,34
12,37
13,41
14,43
15,45
16,47
17,50
18,51
20,54
21,55
22,56
23,57
24,61
25,64
26,67
27,73
28,74
30,75
31,76
32,80
33,81
34,82
35,84
36,86
37,87
38,88
40,95
41,97
42,98
43,99
44,100
45,101
46,102
47,103
48,104
50,105
51,112
52,113
53,114
54,115
55,116
56,120
57,121
58,122
59,123
60,125
61,130
62,131
63,132
64,133
65,134
66,135
67,137
68,140
69,143
70,145
71,146
72,148
73,153
74,154
75,155
76,156
77,157
78,158
79,160
80,161
81,164
82,166
83,168
84,170
85,173
86,174
87,175
88,176
89,177
92,178
93,179
94,183
95,184
96,185
97,186
98,188
99,189
100,196
101,197
102,198
103,199
104,201
105,202
106,203
110,204
111,205
112,212
113,213
114,214
115,215
116,216
117,217
118,220
120,222
121,224
122,225
123,227
124,231
125,232
126,235
127,237
128,241
130,242
131,244
132,246
133,247
134,251
135,252
136,253
137,254
138,256
140,257
141,258
142,263
143,265
144,268
145,269
146,272
147,278
148,288
150,298
151,299
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
