,Date,Symbol,Order,Shares
0,2015-01-26,AAPL,SELL,100
1,2015-01-27,AAPL,BUY,100
2,2015-01-28,AAPL,BUY,100
3,2015-02-10,AAPL,SELL,100
4,2015-02-11,AAPL,BUY,100
5,2015-02-26,AAPL,SELL,100
6,2015-03-02,AAPL,BUY,100
7,2015-03-09,AAPL,SELL,100
8,2015-03-10,AAPL,SELL,100
9,2015-03-12,AAPL,BUY,100
10,2015-03-13,AAPL,SELL,100
11,2015-03-16,AAPL,BUY,100
12,2015-03-17,AAPL,SELL,100
13,2015-03-26,AAPL,BUY,100
14,2015-03-31,AAPL,BUY,100
15,2015-04-02,AAPL,SELL,100
16,2015-04-08,AAPL,SELL,100
17,2015-04-09,AAPL,BUY,100
18,2015-04-10,AAPL,SELL,100
19,2015-04-13,AAPL,BUY,100
20,2015-04-14,AAPL,SELL,100
21,2015-04-20,AAPL,BUY,100
22,2015-04-21,AAPL,BUY,100
23,2015-04-22,AAPL,SELL,100
24,2015-04-23,AAPL,SELL,100
25,2015-04-24,AAPL,BUY,100
26,2015-04-28,AAPL,BUY,100
27,2015-05-01,AAPL,SELL,100
28,2015-05-04,AAPL,SELL,100
29,2015-05-07,AAPL,BUY,100
30,2015-05-11,AAPL,BUY,100
31,2015-05-13,AAPL,SELL,100
32,2015-05-14,AAPL,SELL,100
33,2015-05-15,AAPL,BUY,100
34,2015-05-18,AAPL,BUY,100
35,2015-05-19,AAPL,SELL,100
36,2015-05-20,AAPL,SELL,100
37,2015-05-26,AAPL,BUY,100
38,2015-05-28,AAPL,SELL,100
39,2015-06-08,AAPL,BUY,100
40,2015-06-09,AAPL,BUY,100
41,2015-06-15,AAPL,SELL,100
42,2015-06-16,AAPL,SELL,100
43,2015-06-17,AAPL,BUY,100
44,2015-06-18,AAPL,SELL,100
45,2015-06-19,AAPL,BUY,100
46,2015-06-22,AAPL,SELL,100
47,2015-06-24,AAPL,BUY,100
48,2015-06-29,AAPL,SELL,100
49,2015-07-01,AAPL,BUY,100
50,2015-07-02,AAPL,SELL,100
51,2015-07-07,AAPL,BUY,100
52,2015-07-08,AAPL,SELL,100
53,2015-07-13,AAPL,BUY,100
54,2015-07-15,AAPL,BUY,100
55,2015-07-23,AAPL,SELL,100
56,2015-07-24,AAPL,BUY,100
57,2015-07-29,AAPL,SELL,100
58,2015-07-30,AAPL,SELL,100
59,2015-08-11,AAPL,BUY,100
60,2015-08-12,AAPL,SELL,100
61,2015-08-13,AAPL,BUY,100
62,2015-08-14,AAPL,BUY,100
63,2015-08-18,AAPL,SELL,100
64,2015-08-19,AAPL,SELL,100
65,2015-08-20,AAPL,BUY,100
66,2015-08-21,AAPL,BUY,100
67,2015-08-31,AAPL,SELL,100
68,2015-09-02,AAPL,BUY,100
69,2015-09-04,AAPL,SELL,100
70,2015-09-09,AAPL,BUY,100
71,2015-09-15,AAPL,SELL,100
72,2015-09-17,AAPL,SELL,100
73,2015-09-21,AAPL,BUY,100
74,2015-09-22,AAPL,SELL,100
75,2015-09-25,AAPL,BUY,100
76,2015-09-28,AAPL,SELL,100
77,2015-10-01,AAPL,BUY,100
78,2015-10-02,AAPL,SELL,100
